title,text,resume,authors,date,keywords,source
Iranian women 'ready to pay the price' for defying hijab rules,"Iranian women 'ready to pay the price' for defying hijab rules Published 16 hours ago

Image source, Getty Images Image caption, Iranians took to the streets across the country following the death in custody of Mahsa Amini in 2022

Azad, Donya and Bahareh don't know each other.

But the three women - whose names we've changed for their own safety - share a fierce determination to resist Iran's theocratic government, and the dress codes it has imposed on women and girls for 45 years.

So, every day, they head out of their homes in the capital Tehran - without covering their hair - despite the potential risks.

""It's very scary,"" 20-year-old music student Donya tells me over an encrypted app. ""Because they can arrest you any minute and fine you. Or torture you with lashes. The usual penalty if you're arrested is 74 lashes.""

Last month, a 33-year old Kurdish-Iranian activist, Roya Heshmati, made public that she'd been given 74 lashes after posting a photograph of herself unveiled.

But Donya, Azad and Bahareh say there is, for them, no going back.

""It is symbolic,"" says Donya. ""Because it is the regime's key to suppressing women in Iran. If this is the only way I can protest and take a step for my freedom, I'll do it.""

Image caption, Azad was left traumatised by her time in prison, saying: ""The memory of jail is with me every moment.""

The three women will also protest later this week by not turning out to vote in the country's first parliamentary elections since authorities brutally repressed the women-led uprising that followed the death in custody of 22-year-old Mahsa Amini in September 2022.

She had been detained by the morality police for allegedly not wearing her headscarf properly. Refusing to wear the hijab in public can lead to imprisonment and torture - yet many women do it anyway.

""It's true that there's no longer a strong presence of people on the streets,"" 34-year-old HR manager Azad tells me.

""But in our hearts, the regime has been completely destroyed, and people don't accept anything it does. So their way of showing their disapproval will be not to vote.""

'Solitary confinement was the worst you can imagine'

Azad was arrested in October 2022 and imprisoned for a month.

She was re-arrested in July last year, for social media posts criticising the government, and spent 120 days in jail - 21 of them in solitary confinement.

""Solitary confinement was the worst place you can imagine,"" she says. ""The cell door was locked all the time. The cell was 1m (3.3ft) by 1.5m (4.9ft). There was no outside light, but artificial lights were on day and night. We were blindfolded when we went to the toilet.""

Azad was so disturbed by the ordeal that she hit her head against the cell wall, and is still traumatised.

""Sometimes now I start crying without any reason,"" she says. ""Sometimes I don't want to open my eyes because I think I'm still there. The memory of the jail is with me every moment.""

She described interrogations that lasted from 08:00 until night-time.

Image source, Getty Images Image caption, Refusing to wear the hijab in public can lead to imprisonment, yet many women are prepared to take the risk

""It is called 'white torture' and it is worse than a thousand beatings. They would threaten and humiliate me. But I would mock them.""

And despite all that she's already endured, Azad's still willing to risk jail again by going out without the hijab.

""After we lost Mahsa Amini, I promised myself that I will not wear the hijab, or ever buy another one for myself or anyone else,"" she says. ""Every change has a price. And we're ready to pay it.""

Many women in Iran now go out without a headscarf, although some have one around their necks in case they're stopped by the morality police.

But I've been told that around one in five are not wearing one at all - in a daily act of bravery, defiance and principle.

""I will never give up,"" Azad messages me - followed by a heart emoji and a victory sign.

'I'm not allowed to go to work without the hijab'

But another woman I speak to in Tehran describes herself now as ""worn out"" by the struggle against the regime.

Bahareh, a 39-year old reporter and film critic, has taken a massive salary cut to work from home, rather than going into her office - where she would be forced to wear the veil.

""I'm tired and disappointed,"" she tells me. ""I'm not allowed to go to work without the hijab and I'm not willing to wear it.""

She now has to rely on her husband's salary.

Recently, while out driving without a headscarf, she was stopped by the police and had her car confiscated.

She was also arrested late last year, after posting pictures of herself without the hijab on her Instagram account and encouraging others to do the same. A Revolutionary Court gave her a six-month suspended sentence and a fine.

""I was insulted and threatened, told I was wrong and accused of inciting people to revolution and nakedness.""

Image caption, Bahareh was arrested last year after posting pictures of herself without the hijab on her Instagram account

I ask Bahareh why she thinks she wasn't actually jailed.

""Because the prisons are full of people and they prefer just to scare people like me,"" she replies.

""I still go out, but it's difficult because restaurants and cafes and bookstores can be closed down for letting me in without the hijab,"" she says. ""It makes me feel very bitter.""

We agree to delete our conversation as soon as we finish it, such is her fear of being caught talking to me. ""Then I will block you,"" she messages. ""I have no choice. If I am arrested no-one can help me and I will be accused of spying and sentenced to death.""

Terror and courage exist side-by-side for many Iranian women willing to defy the regime. Along with anger and hope.

'I panicked and my dad got scared as well'

Donya describes a recent theatre trip with her father to downtown Tehran.

She was wearing a hat for warmth, and took it off in the metro, when she was yelled at by a group of men and women in black chadors - the full-body cloaks worn by female morality police - to put on her headscarf.

""I didn't have one. Only my hat. And a stubborn urge in me refused to put it on,"" she says. ""It was so scary. I kept walking, ignoring them. And there were so many of them, they'd occupied most of the station.""

It was only when she heard one of them say to the other, ""Please take this girl to the van,"" that she reconsidered.

""My blood ran cold. I panicked and my dad got scared as well. So I put on my hat!""

The only other time Donya covers her head is to enter her university, because she wouldn't be allowed in without it. However, she says she - and others - then take it off in the classrooms.

""My friends and I wish we could wear cool clothes with gorgeous hairstyles at university - like in other countries.

""People were asleep before Mahsa's death - metaphorically - but now they're more aware,"" she adds.

""The protests are the reason why so many women refuse to wear a headscarf on the streets. But they're also tired of the pressure and all the news of executions. It's a difficult and exhausting path.""

But people still write graffiti on public walls, she says, and boycott state television.

""I see people fighting for change every day,"" she says. ""I believe in my generation, Gen Z. We can't stand oppression. People find every chance they can to dance and cheer or sing in the streets, because dancing is illegal.""

Azad, too, is buoyed by the solidarity of strangers, and a new sense of unity against the regime.

She says even hijab-wearing women encourage her for refusing to cover her hair. And she's convinced that, after 45 years in power, the days of the Islamic Republic are numbered.",Resume23,[],,"['ready', 'rules', 'wear', 'pay', 'iranian', 'defying', 'jail', 'caption', 'public', 'price', 'headscarf', 'hijab', 'donya', 'streets', 'women', 'arrested']",bbc_articles
Climate change: 'Ice bumps' reveal history of Antarctic melting,"""The thing to remember is that once an ice shelf loses contact with a pinning point, it's very difficult to regain contact, because you get a dynamical response in the ice: it starts to speed up and the grounding line - the line where the glacier is still touching the seabed - starts to retreat,"" he told BBC News.",Resume24,[],,"['shelf', 'antarctic', 'line', 'ice', 'climate', 'speed', 'bumps', 'seabed', 'change', 'told', 'touching', 'melting', 'reveal', 'history', 'starts', 'thing', 'contact']",bbc_articles
Iwájú: Nigerian Disney show flawed but delightful - critics,"After initially announcing that Iwájú would stream exclusively on Disney+, the company said Nigerians who subscribe to DSTV would be able to watch the show on the Disney Channel, where it will air in late April and early May, Nigerian media reports say.",Resume25,[],,"['flawed', 'iwájú', 'say', 'nigerians', 'nigerian', 'subscribe', 'delightful', 'reports', 'watch', 'disney', 'late', 'critics', 'media', 'stream']",bbc_articles
"Phosgene was detected at Sweden security service HQ, report suggests","Sapo insists that what it said on Friday still holds - that no gas was detected. Speaking to TT news agency, a spokesperson was unable to explain why this appeared to conflict with the county's report.",Resume26,[],,"['report', 'hq', 'holds', 'unable', 'sweden', 'explain', 'phosgene', 'spokesperson', 'gas', 'suggests', 'tt', 'sapo', 'detected', 'insists', 'service', 'security', 'speaking']",bbc_articles
Ukraine war: Ukraine reports jump in number of downed Russian planes,"The higher number of Russian planes claimed to have been shot down recently suggests that ""Ukraine is being more aggressive with risking Patriot launchers close to the frontlines in order to engage Russian jets,"" Justin Bronk, a senior research fellow at the London-based think-tank Rusi, told the BBC.",Resume27,[],,"['russian', 'shot', 'number', 'rusi', 'suggests', 'ukraine', 'war', 'downed', 'jump', 'told', 'thinktank', 'planes', 'reports', 'risking', 'research', 'senior']",bbc_articles
Ghana passes bill making identifying as LGBTQ+ illegal,"At the time, the Christian Council of Ghana and the Ghana Pentecostal and Charismatic Council said in a joint statement that being LGBTQ+ was ""alien to the Ghanaian culture and family value system and, as such, the citizens of this nation cannot accept it"".",Resume28,[],,"['joint', 'identifying', 'pentecostal', 'value', 'bill', 'statement', 'illegal', 'ghana', 'nation', 'ghanaian', 'passes', 'making', 'system', 'council', 'lgbtq']",bbc_articles
Donald Trump easily wins Michigan primary over Nikki Haley,"On Tuesday night, Mr Trump - who did not travel to Michigan for the ballot - said his campaign's margin of victory in the state was ""greater than we even anticipated"".",Resume29,[],,"['travel', 'nikki', 'wins', 'margin', 'night', 'michigan', 'easily', 'state', 'primary', 'donald', 'greater', 'trump', 'campaigns', 'mr', 'victory', 'haley']",bbc_articles
Chad fighting: Heavy gunfire in N'Djamena after attack on security HQ,"It is not clear if Mr Dillo was among those arrested, but in a Facebook post on Wednesday morning, he said the military had come for him at his party headquarters.",Resume30,[],,"['headquarters', 'mr', 'hq', 'chad', 'dillo', 'heavy', 'ndjamena', 'attack', 'facebook', 'come', 'clear', 'post', 'morning', 'gunfire', 'fighting', 'military', 'security', 'party']",bbc_articles
Government shutdown: US lawmakers optimistic on spending deal,"""It's Congress' responsibility to fund the government,"" Mr Biden said at the start of the meeting. ""A shutdown would damage the economy significantly, and I think we all agree to that, and we need a bipartisan solution.""",Resume31,[],,"['start', 'mr', 'lawmakers', 'solution', 'need', 'spending', 'responsibility', 'think', 'fund', 'deal', 'optimistic', 'meeting', 'significantly', 'shutdown']",bbc_articles
Bulgarian decorator accused of spying for Russia appears in court,"Mr Marsalek is best known as the Austrian former chief operating officer of the company Wirecard, who became a wanted man in Germany after being suspected of having committed fraud. He is reportedly now in Russia.",Resume32,[],,"['wirecard', 'spying', 'bulgarian', 'man', 'court', 'accused', 'russia', 'wanted', 'suspected', 'operating', 'appears', 'decorator', 'mr', 'reportedly', 'officer', 'marsalek']",bbc_articles
"To defeat Putin, stop being boring, says Navalny's widow Yulia Navalnaya","Addressing the European Parliament, Yulia Navalnaya has said her late husband Alexei Navalny - Russia's most prominent opposition figure - will ""never see what the beautiful Russia of the future will look like, but we must see it"".

Ms Navalnaya said the ""murder"" of her husband - who died in an Arctic penal colony on 16 February - showed that Putin was ""capable of anything"" and could not be negotiated with.

Few official details have been released on the cause of Navalny's death. His funeral on Friday is likely to have a heavy police presence.

Read more: Navalny to be buried on Friday in Moscow",Resume33,[],,"['navalny', 'withfew', 'russias', 'showed', 'widow', 'released', 'stop', 'navalnaya', 'boring', 'russia', 'navalnys', 'yulia', 'husband', 'putin', 'defeat']",bbc_articles
Alexei Navalny's funeral to be held on Friday in Moscow,"On Tuesday, Navalny's spokeswoman Kira Yarmysh said his team were struggling to find somewhere to hold the ceremony - some funeral homes had claimed they were fully booked, she said, while others had refused when they found out who the event was for.",Resume34,[],,"['spokeswoman', 'homes', 'funeral', 'moscow', 'held', 'yarmysh', 'navalnys', 'struggling', 'refused', 'alexei', 'team', 'kira', 'hold']",bbc_articles
What are bump stocks? US top court to decide if they count as machine guns,"The bump stock harnesses a rifle's recoil to rapidly fire multiple rounds. It replaces the weapon's stock, which is held against the shoulder, and allows the gun to slide back and forward between a shooter's shoulder and trigger finger. That motion - or ""bump""- lets the gun fire without the shooter having to move their trigger finger.",Resume35,[],,"['shooter', 'finger', 'decide', 'court', 'bump', 'gun', 'trigger', 'guns', 'weapons', 'count', 'stock', 'shoulder', 'machine', 'shooters', 'stocks', 'slide']",bbc_articles
Sydney murder case: Tributes flood in for Jesse Baird and Luke Davies,"Mr Baird's peers at Network 10 have said he was more friend than colleague. ""[He was] like a little brother. He had this big, beautiful smile [and] at 26 he was an absolute star,"" said Sarah Harris - the host of current affairs show the Project - in a teary on-air tribute on Sunday.",Resume36,[],,"['tribute', 'jesse', 'network', 'sarah', 'mr', 'case', 'tributes', 'luke', 'baird', 'teary', 'peers', 'project', 'flood', 'sydney', 'onair', 'star', 'murder', 'davies', 'smile']",bbc_articles
"Navalny 'tortured, starved, cut off and killed by Putin', says wife","Navalny 'tortured, starved, cut off and killed by Putin', says wife. Video, 00:00:21Navalny 'tortured, starved, cut off and killed by Putin', says wife",Resume37,[],,"['navalny', 'wife', 'killed', 'video', '000021navalny', 'starved', 'putin', 'cut', 'tortured']",bbc_articles
Villavicencio murder 'planned from jail' by Los Lobos gang - prosecutors,"Prosecutors say that the seven men killed in jail were the assailants who attacked Villavicencio, but suspect that they were hired gunmen and that the order to kill the politician came from inside an Ecuadorean jail.",Resume38,[],,"['los', 'jail', 'gang', 'say', 'suspect', 'politician', 'villavicencio', 'prosecutors', 'planned', 'seven', 'order', 'men', 'murder', 'lobos', 'killed']",bbc_articles
Guinea junta appoints Mamadou Oury Bah as new prime minister,"The trained economist is expected to not only set up a new government to replace the one that was dismissed, but also take steps to alleviate the economic hardships facing millions of Guineans.",Resume39,[],,"['set', 'prime', 'bah', 'minister', 'trained', 'guineans', 'replace', 'junta', 'facing', 'expected', 'guinea', 'mamadou', 'hardships', 'steps', 'appoints', 'millions', 'oury', 'economist']",bbc_articles
Chicago on tornado watch as cold front moves in,The Chicago Department of the Environment says the drastic fluctuations in temperature are an example of the unseasonable and unpredictable weather that climate change will continue to bring.,Resume40,[],,"['cold', 'fluctuations', 'unpredictable', 'department', 'continue', 'tornado', 'weather', 'watch', 'drastic', 'environment', 'moves', 'example', 'chicago', 'unseasonable', 'temperature']",bbc_articles
Nigeria imposes annual levy on expatriate workers,"Nigerian economist Abubakar Abdullahi says the levy is good for the country and won't frustrate potential investors as ""they'll love to see the country grow as well"".""I believe Nigeria stands to benefit from this levy as more companies will start looking inwards as there are qualified Nigerians from all sectors,"" he says.",Resume41,[],,"['start', 'country', 'welli', 'qualified', 'sectors', 'nigeria', 'stands', 'levy', 'potential', 'expatriate', 'imposes', 'wont', 'workers', 'annual', 'theyll']",bbc_articles
AKA murder: Seven suspects arrested for South African rapper's killing,"The suspects who are behind bars include two gunmen who allegedly fired several rounds at the victims, three spotters who are accused of following AKA from Durban's airport, someone who allegedly sourced the firearms which were used in the ambush, as well as the alleged mastermind.",Resume42,[],,"['mastermind', 'used', 'south', 'allegedly', 'include', 'african', 'seven', 'killing', 'sourced', 'rounds', 'murder', 'suspects', 'spotters', 'victims', 'gunmen', 'aka', 'rappers', 'arrested']",bbc_articles
Valencia fire: Grenfell-style cladding fear after blaze,"Alucoil has produced three types of cladding panel and the BBC has not been able to verify which ones have been used in the building. However, one of the cladding panels it produces, Larson PE, is known to be highly combustible.",Resume43,[],,"['used', 'fear', 'cladding', 'types', 'produces', 'pe', 'ones', 'panels', 'blaze', 'panel', 'grenfellstyle', 'verify', 'produced', 'valencia']",bbc_articles
Gaza: States calls for 'immediate suspension' to hostilities,"They also agreed: ""To express their profound sadness and dismay at the extent of loss of civilian lives in Gaza and Israel and to condemn the taking of hostages and all acts of aggression which violate international law and result in death and harm to civilians, especially women and children.""",Resume44,[],,"['law', 'hostilities', 'loss', 'sadness', 'suspension', 'profound', 'israel', 'calls', 'lives', 'immediate', 'states', 'violate', 'result', 'women', 'gaza', 'taking']",bbc_articles
Monica Lewinsky signed as face of Reformation's vote campaign,"""We all have to be reminding each other that we can't let that get in the way of needing to vote, that that's how we use our voice. That's where our power is,"" she told the magazine.",Resume45,[],,"['monica', 'reformations', 'campaign', 'way', 'power', 'let', 'reminding', 'face', 'vote', 'signed', 'lewinsky', 'told', 'needing', 'voice', 'thats', 'magazine']",bbc_articles
Texas wildfire: Fire truck drives through inferno,"Video filmed from inside a fire truck shows flames towering above the road as thick smoke obscures the view.

Out-of-control fires across the Texas Panhandle - the northern-most region of the US state - have affected more than 250,000 acres (1,000 sq km) of land, triggering evacuations, road closures and power cuts.

Pantex, a key nuclear weapons plant, was forced to suspend operations until further notice.",Resume46,[],,"['drives', 'road', 'inferno', 'texas', 'weapons', 'wildfire', 'video', 'towering', 'triggering', 'suspend', 'truck', 'thick', 'viewoutofcontrol']",bbc_articles
'I was a guinea pig during secret Christmas Island nuclear tests',"In the decades that have followed the tests, calls have been made for the men who witnessed a nuclear test to receive an apology for the health risks they were exposed to.",Resume47,[],,"['nuclear', 'pig', 'risks', 'tests', 'men', 'guinea', 'health', 'receive', 'island', 'secret', 'followed', 'witnessed', 'test', 'exposed', 'christmas']",bbc_articles
Organiser of 'white party' in Sri Lanka apologises after backlash,"""We wanted to meet expats who have been living here for a long time and love Sri Lanka. The team... supported me and a joint decision was made to quickly organise a party,"" he said, adding that he has since had to leave the country after receiving a barrage of abuse and threats.",Resume48,[],,"['quickly', 'threats', 'sri', 'receiving', 'lanka', 'apologises', 'wanted', 'meet', 'supported', 'white', 'organise', 'backlash', 'team', 'organiser', 'party']",bbc_articles
